sci_name,long,lat
Bulbophyllum exaltatum,-41.164722,-11.57
Bulbophyllum geraense,-41.418611,-12.450833
Bulbophyllum geraense,-41.43333,-12.46667
Bulbophyllum involutum,-41.866667,-13.283333
Bulbophyllum involutum,-41.866667,-13.3
Bulbophyllum involutum,-41.85,-13.3
Bulbophyllum involutum,-41.85,-13.85
Bulbophyllum involutum,-41.3,-13.3
Bulbophyllum involutum,-41.87,-13.28
Bulbophyllum involutum,-41.87,-13.3
Bulbophyllum involutum,-41.3,-13.05
Bulbophyllum involutum,-41.88,-13.55
Bulbophyllum involutum,-41.88333,-13.55
Bulbophyllum involutum,-41.905139,-13.526444
Bulbophyllum involutum,-41.873333,-13.875833
Bulbophyllum involutum,-41.37,-13.371111
Bulbophyllum involutum,-41.883333,-13.55
Bulbophyllum involutum,-41.37,-13.004444
Bulbophyllum involutum,-40.701389,-11.243889
Bulbophyllum involutum,-40.694722,-11.240833
Bulbophyllum involutum,-41.873333,-13.459167
Bulbophyllum ipanemense,-41.833333,-13.033333
Bulbophyllum ipanemense,-40.633333,-11.083333
Bulbophyllum ipanemense,-41.433333,-12.466667
Bulbophyllum ipanemense,-41.880278,-13.043889
Bulbophyllum ipanemense,-41.43,-12.47
Bulbophyllum ipanemense,-41.83,-13.03
Bulbophyllum ipanemense,-40.63,-11.08
Bulbophyllum ipanemense,-40,-11
Bulbophyllum ipanemense,-41.87,-13.28
Bulbophyllum ipanemense,-41.85,-13.3
Bulbophyllum ipanemense,-41.87,-13.3
Bulbophyllum ipanemense,-41.772778,-13.151944
Bulbophyllum ipanemense,-41.7728657,-13.15557
Bulbophyllum ipanemense,-41.189722,-11.183333
Bulbophyllum ipanemense,-41.55,-13.55
Bulbophyllum kautskyi,-39.466667,-12.466667
Bulbophyllum manarae,-38.066667,-11.55
Bulbophyllum manarae,-40.996667,-11.989444
Bulbophyllum manarae,-40.997222,-11.989444
Bulbophyllum mentosum,-41.883334,-13.05
Bulbophyllum mentosum,-41.9,-13.066667
Bulbophyllum mentosum,-41.9,-13.116667
Bulbophyllum mentosum,-41.886389,-13.893889
Bulbophyllum mentosum,-41.9,-13.9
Bulbophyllum mentosum,-41.991667,-12.428056
Bulbophyllum mentosum,-41.75,-13.233333
Bulbophyllum mentosum,-41.894167,-13.08
Bulbophyllum mentosum,-41.886556,-13.059333
Bulbophyllum mentosum,-41.993417,-12.430056
Bulbophyllum mentosum,-41.914444,-13.157222
Bulbophyllum mentosum,-41.55,-12.55
Bulbophyllum mentosum,-41.9,-13.07
Bulbophyllum mentosum,-41.9,-13.12
Bulbophyllum mentosum,-41.995833,-12.994444
Bulbophyllum mentosum,-41.883333,-13.05
Bulbophyllum mentosum,-41.886389,-13.060556
Bulbophyllum meridense,-36.956203,-9.884653
Bulbophyllum meridense,-40.478333,-12.4675
Bulbophyllum meridense,-36.405278,-8.413611
Bulbophyllum micropetaliforme,-41.909167,-13.287222
Bulbophyllum micropetaliforme,-41.866111,-13.045833
Bulbophyllum micropetaliforme,-41.909083,-13.287222
