family,genus,species,Long,Lat
Orchidaceae,Prescottia,Prescottia leptostachya,-40.416667,-12.433333
Orchidaceae,Habenaria,Habenaria imbricata,-41.95,-13.55
Orchidaceae,Habenaria,NA,-41.466667,-12.966667
Orchidaceae,Habenaria,Habenaria repens,-41.033333,-11.633333
Orchidaceae,Habenaria,Habenaria repens,-41.416667,-13.033333
Orchidaceae,Habenaria,Habenaria pseudohamata,-41.45,-13.583333
Orchidaceae,Habenaria,Habenaria johannensis,-41.95,-13.55
Orchidaceae,Habenaria,NA,-41.883334,-13.533333
Orchidaceae,Habenaria,Habenaria imbricata,-41.966667,-13.533333
Orchidaceae,Habenaria,Habenaria mystacina,-41.95,-13.55
Orchidaceae,Habenaria,Habenaria fluminensis,-41.033333,-11.633333
Orchidaceae,Habenaria,Habenaria quadrata,-41.2,-11.583333
Orchidaceae,Habenaria,Habenaria pratensis,-41.55,-13.1
Orchidaceae,Cleistes,Cleistes exilis,-41.466667,-12.966667
Orchidaceae,Cleistes,Cleistes moritzii,-41.95,-13.55
Orchidaceae,Habenaria,Habenaria pratensis,-41.883334,-13.55
Orchidaceae,Habenaria,Habenaria repens,-42.5,-14.116667
Orchidaceae,Cleistes,Cleistes moritzii,-41.316667,-12.866667
Orchidaceae,Cleistes,Cleistes moritzii,-41.433333,-12.466667
Orchidaceae,Cleistes,NA,-41.35,-13.016667
Orchidaceae,Habenaria,Habenaria imbricata,-41.033333,-11.633333
Orchidaceae,Cleistes,Cleistes moritzii,-41.4,-13.016667
Orchidaceae,Cleistes,Cleistes exilis,-41.316667,-12.866667
Orchidaceae,Cleistes,Cleistes exilis,-41.35,-13.016667
Orchidaceae,Cleistes,NA,-41.316667,-12.866667
Orchidaceae,Cleistes,Cleistes paranaensis,-41.416667,-13.666667
Orchidaceae,Vanilla,Vanilla palmarum,-37.166667,-8.616667
Orchidaceae,Cleistes,Cleistes moritzii,-41.416667,-13.666667
Orchidaceae,Gomesa,Gomesa flexuosa,-36.768611,-8.317778
Orchidaceae,Acianthera,Acianthera ochreata,-36.761667,-8.310278
Orchidaceae,Gomesa,Gomesa barbata,-36.761667,-8.310278
Orchidaceae,Eulophia,Eulophia maculata,-40.449783,-10.901847
Orchidaceae,Gomesa,Gomesa barbata,-39.067802,-11.627727
Orchidaceae,Vanilla,Vanilla palmarum,-40.233355,-10.250063
Orchidaceae,Catasetum,Catasetum purum,-40.238611,-10.258888
Orchidaceae,Epidendrum,Epidendrum cinnabarinum,-39.067805,-11.627727
Orchidaceae,Eulophia,Eulophia maculata,-37.294861,-9.532161
Orchidaceae,Cattleya,Cattleya elongata,-41.462332,-12.448875
Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,-41.171716,-13.163357
Orchidaceae,Sobralia,Sobralia liliastrum,-41.392462,-12.584845
Orchidaceae,Sobralia,Sobralia liliastrum,-41.419787,-12.463769
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.171716,-13.163357
Orchidaceae,Vanilla,NA,-40.234556,-13.875972
Orchidaceae,NA,NA,-40.234556,-13.875972
Orchidaceae,Cattleya,Cattleya pfisteri,-41.285,-13.683889
Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,-41.393154,-12.584663
Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,-41.390758,-12.579119
Orchidaceae,Epistephium,Epistephium williamsii,-41.44148,-12.810225
Orchidaceae,Prosthechea,Prosthechea moojenii,-41.507231,-12.757028
Orchidaceae,Epidendrum,Epidendrum pessoae,-35.700229,-6.968671
Orchidaceae,Acianthera,Acianthera ochreata,-36.059734,-8.362948
Orchidaceae,Cyrtopodium,NA,-41.277244,-12.890625
Orchidaceae,Habenaria,Habenaria pubidactyla,-41.507612,-12.759237
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.480612,-12.606778
Orchidaceae,Acianthera,Acianthera ochreata,-36.386716,-8.242434
Orchidaceae,Epidendrum,Epidendrum secundum,-41.488556,-12.600873
Orchidaceae,Dichaea,Dichaea panamensis,-35.395056,-7.602556
Orchidaceae,Cranichis,Cranichis candida,-37.645639,-7.427417
Orchidaceae,Cyrtopodium,Cyrtopodium flavum,-36.266667,-8.252778
Orchidaceae,Acianthera,Acianthera ochreata,-41.94,-13.949722
Orchidaceae,NA,NA,-42.304167,-13.941389
Orchidaceae,Scaphyglottis,Scaphyglottis sickii,-38.713611,-3.917222
Orchidaceae,Campylocentrum,Campylocentrum neglectum,-42.299167,-12.600278
Orchidaceae,Vanilla,Vanilla palmarum,-42.280278,-12.224722
Orchidaceae,Catasetum,Catasetum blackii,-42.280278,-12.221944
Orchidaceae,Eulophia,Eulophia maculata,-35.380358,-6.10647
Orchidaceae,Epidendrum,Epidendrum flammeum,-36.191852,-8.2363
Orchidaceae,Eulophia,Eulophia maculata,-36.327239,-7.128356
Orchidaceae,Epidendrum,Epidendrum flammeum,-36.191974,-8.236335
Orchidaceae,Habenaria,Habenaria hamata,-38.054167,-7.823889
Orchidaceae,Campylocentrum,Campylocentrum crassirhizum,-35.742222,-6.9575
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.389444,-13.005833
Orchidaceae,Catasetum,Catasetum uncatum,-38.340792,-9.973609
Orchidaceae,Catasetum,Catasetum uncatum,-38.237002,-9.922457
Orchidaceae,Epidendrum,Epidendrum secundum,-41.017222,-11.605833
Orchidaceae,Cyrtopodium,Cyrtopodium parviflorum,-42.559167,-13.8925
Orchidaceae,Epistephium,Epistephium williamsii,-41.466667,-13.683333
Orchidaceae,Epidendrum,Epidendrum secundum,-41.766667,-14.133333
Orchidaceae,Epidendrum,Epidendrum secundum,-41.638889,-13.014444
Orchidaceae,Cattleya,Cattleya pfisteri,-41.466667,-13.683333
Orchidaceae,Cattleya,Cattleya pfisteri,-41.766667,-14.133333
Orchidaceae,Acianthera,Acianthera ochreata,-42.285,-13.25
Orchidaceae,Epidendrum,Epidendrum secundum,-41.383333,-12.566667
Orchidaceae,Epistephium,Epistephium williamsii,-41.465467,-12.892564
Orchidaceae,Anathallis,Anathallis microphyta,-40.594796,-11.428702
Orchidaceae,Epidendrum,Epidendrum saxatile,-40.594796,-11.428702
Orchidaceae,Vanilla,Vanilla phaeantha,-37.4643,-10.436471
Orchidaceae,Cyrtopodium,Cyrtopodium holstii,-37.302029,-5.915125
Orchidaceae,Zygopetalum,Zygopetalum maculatum,-41.490171,-12.71596
Orchidaceae,Epistephium,Epistephium williamsii,-40.594796,-11.428702
Orchidaceae,Epidendrum,Epidendrum secundum,-41.968548,-13.52632
Orchidaceae,Habenaria,Habenaria josephensis,-40.594796,-11.428702
Orchidaceae,Cleistes,Cleistes parviflora,-41.441956,-12.654834
Orchidaceae,Vanilla,Vanilla phaeantha,-37.432324,-10.513894
Orchidaceae,Cyrtopodium,Cyrtopodium flavum,-36.016917,-8.410639
Orchidaceae,Acianthera,Acianthera ochreata,-36.016917,-8.410639
