species,Long,Lat
Cattleya elongata,-41.003056,-11.011111
Gomesa flexuosa,-39.475556,-12.469722
Anathallis aristulata,-41.383333,-13.383333
Specklinia marginalis,-41.3,-12.3
Cyrtopodium aliciae,-41.188611,-10.194444
Gomesa flexuosa,-39.466667,-12.466667
Campylocentrum parahybunense,-39.471667,-12.469444
Gomesa ramosa,-41.344167,-13.3475
Cattleya elongata,-41.000833,-11.006667
Habenaria trifida,-39.475278,-12.469722
Cyrtopodium flavum,-41.15,-11.15
Gomesa sincorana,-41.885556,-13.899167
Gomesa ramosa,-41.633333,-12.633333
Cleistes rosea,-41.416667,-12.416667
Sobralia liliastrum,-39.466667,-12.466667
Cattleya luetzelburgii,-41.85,-13.85
Epidendrum secundum,-39.466667,-12.466667
Promenaea xanthina,-41.9,-13.9
Encyclia dichroma,-39.85,-12.85
Notylia lyrata,-40.991389,-11.998056
Epidendrum secundum,-40.506111,-11.511667
Gomesa recurva,-36,-8.010556
Prosthechea moojenii,-41.15,-11.15
Sacoila lanceolata,-41.45,-12.45
Epidendrum orchidiflorum,-41.385278,-13.383333
Epidendrum saxatile,-40.511111,-11.501667
Cleistes exilis,-41.8,-13.8
Epistephium williamsii,-41.883333,-13.883333
Habenaria repens,-41.9,-14.9
Habenaria sprucei,-41.916667,-13.916667
Cattleya luetzelburgii,-41.9,-13.9
Zygopetalum maculatum,-41.883333,-13.883333
Prescottia stachyodes,-40.109444,-13.111389
Zygostates cornuta,-40.109444,-13.111389
Habenaria repens,-41.866667,-13.866667
Habenaria mystacina,-41.85,-13.85
Zygopetalum maculatum,-41.481389,-12.469444
Bulbophyllum kautskyi,-39.466667,-12.466667
Octomeria fusiformis,-41.816667,-13.816667
Epidendrum cinnabarinum,-40.905833,-11.907778
Encyclia oncidioides,-40.905833,-11.907778
Catasetum luridum,-39.7,-12.7
Dichaea pendula,-38.961944,-4.953889
Habenaria hamata,-38.054167,-7.056944
Habenaria depressifolia,-38.569444,-7.569444
Cyrtopodium aliciae,-41.85,-13.85
Gomesa sincorana,-41.9,-13.9
Bulbophyllum involutum,-41.85,-13.85
Vanilla palmarum,-40.905833,-11.907778
Habenaria obtusa,-36.192222,-8.186111
Encyclia patens,-38.076667,-7.081389
Cyrtopodium holstii,-38.013889,-9.006111
Prescottia plantaginifolia,-38.054167,-7.056944
Zygopetalum sellowii,-41.916667,-13.916667
Skeptrostachys congestiflora,-41.9,-13.9
Zygopetalum maculatum,-41.9,-13.9
Cleistes paranaensis,-41.883333,-13.883333
Habenaria meeana,-41.85,-13.85
Bulbophyllum involutum,-41.3,-13.3
Bulbophyllum plumosum,-41.150556,-11.161111
Gomesa ranifera,-41.2,-11.2
Epidendrum secundum,-39.4725,-12.469722
Cattleya luetzelburgii,-41.3,-12.3
Sarcoglottis curvisepala,-41.466667,-12.466667
Octomeria alexandri,-41.866667,-13.866667
Stelis deregularis,-40.536667,-12.545556
Gomesa ciliata,-40.536667,-12.545556
Comparettia coccinea,-40.536667,-12.545556
Epidendrum secundum,-40.536667,-12.545556
Pogoniopsis schenckii,-40.537222,-12.533889
Habenaria petalodes,-38.433889,-10.437222
Catasetum luridum,-40.600556,-11.609167
Notylia nemorosa,-39.471667,-12.469444
Gomesa sincorana,-41.5,-12.5
Pelexia viridis,-41.5,-12.5
Gomesa ramosa,-41.2,-11.2
Zygopetalum maculatum,-41.383333,-12.383333
Gomesa ranifera,-41.383333,-12.383333
Cleistes paranaensis,-41.466667,-12.466667
Habenaria spanophytica,-41.466667,-12.466667
Campylocentrum crassirhizum,-41.316667,-12.316667
Epidendrum orchidiflorum,-41.766111,-13.765833
Epidendrum secundum,-40.494444,-11.489167
Bulbophyllum weddellii,-41.627222,-13.6675
Eurystyles cotyledon,-36.3975,-8.395556
Encyclia jenischiana,-39.054444,-11.054167
Prescottia plantaginifolia,-39.533333,-12.533333
Sarcoglottis fasciculata,-41.9,-13.9
Polystachya concreta,-40.536667,-12.545556
Maxillaria imbricata,-41.433333,-12.433333
Gomesa barbata,-39.080833,-10.0775
Cattleya elongata,-41.409444,-12.400278
Epidendrum secundum,-41.509167,-12.514167
Galeandra montana,-41.211944,-13.201111
Skeptrostachys congestiflora,-41.45,-12.45
Epistephium williamsii,-41.466667,-12.466667
Epidendrum secundum,-41.466667,-12.466667
Prescottia plantaginifolia,-38.966667,-11.966667
Epidendrum secundum,-40,-11
Epidendrum orchidiflorum,-41.207222,-11.207778
Epidendrum secundum,-41.5,-12.5
Vanilla palmarum,-38.674444,-10.672778
Epistephium williamsii,-39.466667,-12.466667
Cyrtopodium aliciae,-41.418333,-12.43
Thelyschista ghillanyi,-41.466667,-12.466667
Habenaria bahiensis,-41.483333,-12.483333
Cattleya elongata,-41.001111,-11.011389
Prosthechea moojenii,-41.85,-13.85
Zygopetalum maculatum,-42.366667,-13.366667
Cattleya luetzelburgii,-41.783333,-13.783333
Vanilla palmarum,-38.875278,-11.878333
Cattleya tenuis,-41.764167,-13.755278
Skeptrostachys congestiflora,-42.416667,-13.416667
Cattleya luetzelburgii,-41.933333,-13.933333
Eulophia maculata,-40.490556,-12.488611
Epistephium williamsii,-41.376944,-13.366944
Habenaria repens,-41.375278,-13.377222
Galeandra montana,-40.475556,-12.481111
Xylobium variegatum,-39.466667,-12.466667
Epidendrum secundum,-41.633333,-12.633333
Cyrtopodium aliciae,-41.466667,-12.466667
Epidendrum secundum,-40.407778,-10.41
Epidendrum tridactylum,-36.571111,-8.5675
Rodriguezia obtusifolia,-41.191944,-11.184167
Sobralia sessilis,-41.433333,-12.433333
Epidendrum orchidiflorum,-41.466667,-12.466667
Epidendrum secundum,-41.433333,-12.433333
Cyrtopodium flavum,-41.62,-13.0225
Epidendrum orchidiflorum,-41.62,-13.0225
Sobralia liliastrum,-41.62,-13.0225
Pseudolaelia irwiniana,-42.726944,-14.757778
