scientificName,family,genus,species,NM_MUN,SIGLA_UF,Latitude,Longitude
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.328611,-41.851111
Epidendrum secundum Jacq.,Orchidaceae,Epidendrum,Epidendrum secundum,Abaira,BA,-13.233333,-41.65
Cattleya elongata Barb.Rodr.,Orchidaceae,Cattleya,Cattleya elongata,Andarai,BA,-12.9,-41.316667
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Andarai,BA,-12.866667,-41.316667
Epidendrum secundum Jacq.,Orchidaceae,Epidendrum,Epidendrum secundum,Andarai,BA,-12.866667,-41.316667
Epistephium williamsii Hook.f.,Orchidaceae,Epistephium,Epistephium williamsii,Andarai,BA,-12.866667,-41.316667
Cleistes pluriflora (Barb.Rodr.) Schltr.,Orchidaceae,Cleistes,Cleistes moritzii,Andarai,BA,-12.866667,-41.316667
Cleistes exilis Hoehne,Orchidaceae,Cleistes,Cleistes exilis,Andarai,BA,-12.866667,-41.316667
Zygopetalum microphytum Barb.Rodr.,Orchidaceae,Zygopetalum,Zygopetalum microphytum,Andarai,BA,-12.890217,-41.341614
Acianthera ochreata (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera ochreata,Andarai,BA,-12.890217,-41.341614
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Andarai,BA,-12.890217,-41.341614
Sobralia liliastrum Lindl.,Orchidaceae,Sobralia,Sobralia liliastrum,Andarai,BA,-12.463333,-41.001944
Prosthechea moojenii (Pabst) W.E.Higgins,Orchidaceae,Prosthechea,Prosthechea moojenii,Andarai,BA,-12.770864,-41.416956
Cyrtopodium aliciae L.Linden & Rolfe,Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,Andarai,BA,-12.83792,-41.283191
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Andarai,BA,-12.890456,-41.322628
